type,name,notice,furigana
プラスチック,空きびんのキャップ・ふた（プラスチック製）,食品等の汚れは落として、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,あ
埋立てるしかないごみ,空きびんのキャップ・ふた（プラスチック製以外）,亀岡市指定の黄色のごみ袋に入れてください。,あ
燃やすしかないごみ,アクセサリー（革製、木製）,亀岡市指定の緑色のごみ袋に入れてください。,あ
埋立てるしかないごみ,アクセサリー（革製、木製以外）,亀岡市指定の黄色のごみ袋に入れてください。,あ
プラスチック,アクリル板（袋に入るもの）,異物は取り除いて、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,あ
粗大ごみ,アクリル板（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら600円、1m以上1.5m未満なら1,000円、1.5m以上2m未満なら1,400円、2m以上なら1,800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
粗大ごみ,アコーディオンカーテン,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
燃やすしかないごみ,足ふきマット,長辺50cm以下に細断し、亀岡市指定の緑色のごみ袋に入れてください。,あ
収集不可,あぜシート,市では収集できません。購入店・製造元等に処分方法をお尋ねください。,あ
埋立てるしかないごみ,アタッシュケース（袋に入るもの）,亀岡市指定の黄色のごみ袋に入れてください。亀岡市指定のごみ袋に入らないものについては粗大ごみになります。詳しくはごみの出し方をご覧ください。,あ
粗大ごみ,アタッシュケース（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。400円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
小型家電,アダプター（小型家電附属品）,"市役所等に設置している小型家電回収ボックス（投入口15cm×40cm）に入れるか、定期的に開催している小型家電のイベント収集に持ち込んでください（小型家電イベント収集の詳細はこちらhttps://www.city.kameoka.kyoto.jp/soshiki/22/22655.html）。
※小型家電回収ボックスやイベント収集への持ち込みが難しい場合は、埋立てるしかないごみとして出してください。",あ
紙類,厚紙,"異物は取り除いて、ひもくくりまたは紙袋に入れて出してください。
※すでに地域の集団回収などを利用されている方は、引き続き優先してそちらを利用してください。",あ
燃やすしかないごみ,圧着はがき,亀岡市指定の緑色のごみ袋に入れてください。,あ
小型金属類,圧力鍋,収集日に設置されているオレンジ色のコンテナに入れてください。,あ
燃やすしかないごみ,油（料理用固形）,亀岡市指定の緑色のごみ袋に入れてください。,あ
収集不可,油（料理用液体・料理用以外）,市では収集できません。ただし、古布に染み込ませるか市販の凝固剤で固めるなどしていただければ、燃やすしかないごみとして出すことができます。,あ
小型金属類,油こし器,収集日に設置されているオレンジ色のコンテナに入れてください。,あ
燃やすしかないごみ,あぶらとり紙,亀岡市指定の緑色のごみ袋に入れてください。,あ
カン・スプレー缶,油（料理用）の缶,水洗いし、収集日に設置されている空き缶用ネットの中に入れてください。,あ
埋立てるしかないごみ,油（料理用以外）の缶,亀岡市指定の黄色のごみ袋に入れてください。,あ
ビン,油（料理用）のビン,収集日に設置されている白色・茶色・黒色のコンテナにそれぞれ無色・茶・その他の色に分けて入れてください。,あ
埋立てるしかないごみ,油（料理用以外）のビン,亀岡市指定の黄色のごみ袋に入れてください。,あ
プラスチック,油（料理用）の容器（プラスチック製）,食品等の汚れは落として、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,あ
プラスチック,雨ガッパ,異物は取り除いて、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,あ
粗大ごみ,雨戸,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。400円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
埋立てるしかないごみ,雨どい（袋に入るもの）,亀岡市指定の黄色のごみ袋に入れてください。亀岡市指定のごみ袋に入らないものについては粗大ごみになります。詳しくはごみの出し方をご覧ください。,あ
粗大ごみ,雨どい（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら600円、1m以上1.5m未満なら1,000円、1.5m以上2m未満なら1,400円、2m以上なら1,800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
小型金属類,網（金属製）,収集日に設置されているオレンジ色のコンテナに入れてください。,あ
燃やすしかないごみ,網（繊維・合成繊維製のもの）,長辺50cm以下に細断し、亀岡市指定の緑色のごみ袋に入れてください。,あ
プラスチック,網（プラスチック製）,異物は取り除いて、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,あ
粗大ごみ,網（柄付き玉網、虫網など）（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら600円、1m以上1.5m未満なら1,000円、1.5m以上2m未満なら1,400円、2m以上なら1,800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
粗大ごみ,編み機,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
粗大ごみ,網戸,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。400円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
小型金属類,編み針・編み棒（金属製）,収集日に設置されているオレンジ色のコンテナに入れてください。,あ
燃やすしかないごみ,編み針・編み棒（竹製、木製）,亀岡市指定の緑色のごみ袋に入れてください。,あ
埋立てるしかないごみ,編み針・編み棒（金属製、竹製、木製以外）,亀岡市指定の黄色のごみ袋に入れてください。,あ
紙類,飴などの個包装（紙製）,"異物は取り除いて、ひもくくりまたは紙袋に入れて出してください。
※すでに地域の集団回収などを利用されている方は、引き続き優先してそちらを利用してください。",あ
プラスチック,飴などの個包装（プラスチック製）,食品等の汚れは落として、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,あ
燃やすしかないごみ,アルバム,亀岡市指定の緑色のごみ袋に入れてください。,あ
プラスチック,アルバム（プラスチック製）,異物は取り除いて、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,あ
カン・スプレー缶,アルミ缶（食品用）,水洗いし、収集日に設置されている空き缶用ネットの中に入れてください。,あ
埋立てるしかないごみ,アルミ缶（非食品用）,亀岡市指定の黄色のごみ袋に入れてください。,あ
粗大ごみ,アルミサッシ,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。400円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
燃やすしかないごみ,アルミ箔鍋（鍋焼きうどん等）,亀岡市指定の緑色のごみ袋に入れてください。,あ
埋立てるしかないごみ,アルミホイル（アルミ箔）,亀岡市指定の黄色のごみ袋に入れてください。,あ
粗大ごみ,アルミホイール（車用）タイヤなし,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら600円、1m以上1.5m未満なら1,000円、1.5m以上2m未満なら1,400円、2m以上なら1,800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
収集不可,アルミホイール（車用）タイヤ付,市では収集できません。購入店・製造元等に処分方法をお尋ねください。,あ
小型金属類,泡立て器（金属製）,収集日に設置されているオレンジ色のコンテナに入れてください。,あ
埋立てるしかないごみ,泡立て器（金属製以外）,亀岡市指定の黄色のごみ袋に入れてください。,あ
小型家電,泡立て器（電動式）,"市役所等に設置している小型家電回収ボックス（投入口15cm×40cm）に入れるか、定期的に開催している小型家電のイベント収集に持ち込んでください（小型家電イベント収集の詳細はこちらhttps://www.city.kameoka.kyoto.jp/soshiki/22/22655.html）。
※小型家電回収ボックスやイベント収集への持ち込みが難しい場合は、埋立てるしかないごみとして出してください。",あ
小型金属類,アングル（金属製）（50cm以下）,収集日に設置されているオレンジ色のコンテナに入れてください。,あ
埋立てるしかないごみ,アングル（金属製以外）（袋に入るもの）,亀岡市指定の黄色のごみ袋に入れてください。亀岡市指定のごみ袋に入らないものについては粗大ごみになります。詳しくはごみの出し方をご覧ください。,あ
粗大ごみ,アングル（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら600円、1m以上1.5m未満なら1,000円、1.5m以上2m未満なら1,400円、2m以上なら1,800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
埋立てるしかないごみ,安全靴（鉄板入り）,亀岡市指定の黄色のごみ袋に入れてください。,あ
埋立てるしかないごみ,安全ピン,亀岡市指定の黄色のごみ袋に入れてください。,あ
埋立てるしかないごみ,アンテナ（袋に入るもの）,亀岡市指定の黄色のごみ袋に入れてください。亀岡市指定のごみ袋に入らないものについては粗大ごみになります。詳しくはごみの出し方をご覧ください。,あ
粗大ごみ,アンテナ（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。400円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
小型家電,アンテナケーブル,"市役所等に設置している小型家電回収ボックス（投入口15cm×40cm）に入れるか、定期的に開催している小型家電のイベント収集に持ち込んでください（小型家電イベント収集の詳細はこちらhttps://www.city.kameoka.kyoto.jp/soshiki/22/22655.html）。
※小型家電回収ボックスやイベント収集への持ち込みが難しい場合は、埋立てるしかないごみとして出してください。",あ
小型家電,アンプ（単体）（袋に入るもの）,"市役所等に設置している小型家電回収ボックス（投入口15cm×40cm）に入れるか、定期的に開催している小型家電のイベント収集に持ち込んでください（小型家電イベント収集の詳細はこちらhttps://www.city.kameoka.kyoto.jp/soshiki/22/22655.html）。
※小型家電回収ボックスやイベント収集への持ち込みが難しい場合は、埋立てるしかないごみとして出してください。",あ
粗大ごみ,アンプ（単体）（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。400円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
小型家電,あんま機（袋に入るもの）,"市役所等に設置している小型家電回収ボックス（投入口15cm×40cm）に入れるか、定期的に開催している小型家電のイベント収集に持ち込んでください（小型家電イベント収集の詳細はこちらhttps://www.city.kameoka.kyoto.jp/soshiki/22/22655.html）。
※小型家電回収ボックスやイベント収集への持ち込みが難しい場合は、埋立てるしかないごみとして出してください。",あ
粗大ごみ,あんま機（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。1,600円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",あ
粗大ごみ,い草ラグ（上敷）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。3畳未満なら400円、3畳以上なら800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",い
粗大ごみ,衣桁（鳥居型衣類掛け）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら600円、1m以上1.5m未満なら1,000円、1.5m以上2m未満なら1,400円、2m以上なら1,800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",い
収集不可,石,市では収集できません。,い
自己搬入,石うす,こぶし大に砕いてエコトピア亀岡に持ち込んでください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。,い
紙類,衣装ケース（紙製）（袋に入るもの）,"異物は取り除いて、ひもくくりまたは紙袋に入れて出してください。
※すでに地域の集団回収などを利用されている方は、引き続き優先してそちらを利用してください。",い
燃やすしかないごみ,衣装ケース（木製）（50cm以下）,長さ50cm、太さ10cm以下に細断し、亀岡市指定の緑色のごみ袋に入れてください。,い
プラスチック,衣装ケース（プラスチック製）（50cm以下）,異物は取り除いて、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,い
埋立てるしかないごみ,衣装ケース（紙製・木製・プラスチック製以外）（袋に入るもの）,亀岡市指定の黄色のごみ袋に入れてください。亀岡市指定のごみ袋に入らないものについては粗大ごみになります。詳しくはごみの出し方をご覧ください。,い
粗大ごみ,衣装ケース（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら400円、1m以上2m未満なら800円、2m以上なら1,200円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",い
紙類,衣装箱（紙製）（袋に入るもの）,"異物は取り除いて、ひもくくりまたは紙袋に入れて出してください。
※すでに地域の集団回収などを利用されている方は、引き続き優先してそちらを利用してください。",い
燃やすしかないごみ,衣装箱（木製）（50cm以下）,長さ50cm、太さ10cm以下に細断し、亀岡市指定の緑色のごみ袋に入れてください。,い
プラスチック,衣装箱（プラスチック製）（50cm以下）,異物は取り除いて、市販されている10～45リットルの透明・半透明の袋に入れて出してください。,い
埋立てるしかないごみ,衣装箱（紙製・木製・プラスチック製以外）（袋に入るもの）,亀岡市指定の黄色のごみ袋に入れてください。亀岡市指定のごみ袋に入らないものについては粗大ごみになります。詳しくはごみの出し方をご覧ください。,い
粗大ごみ,衣装箱（袋に入らないもの）（一段のものに限る）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら400円、1m以上2m未満なら800円、2m以上なら1,200円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",い
小型金属類,移植ゴテ・移植べラ（金属製）,収集日に設置されているオレンジ色のコンテナに入れてください。,い
埋立てるしかないごみ,移植ゴテ・移植べラ（金属製以外）,亀岡市指定の黄色のごみ袋に入れてください。,い
粗大ごみ,いす（座椅子、折り畳み式、レジャー用、背もたれのないベンチ等）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。400円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",い
草・木類,板（木）（50cm以下）,長さ50cm、太さ10cm以下に細断し、太さ30cm以内にひもで束ねるか市販されている10～45リットルの透明・半透明の袋に入れて出してください。,い
粗大ごみ,板（木）（袋に入らないもの）,"【回収の申込】
オンライン（https://logoform.jp/procedure/JbYC/270）または公益財団法人 環境かめおか（TEL 0771-27-3393）へ電話で申し込んでください。長辺1m未満なら600円、1m以上1.5m未満なら1,000円、1.5m以上2m未満なら1,400円、2m以上なら1,800円分の粗大ごみ料金シールが必要（オンライン決済による申込の場合は不要）ですので、事前にスーパー・コンビニ等で購入してください。
【自己搬入】
一時多量、処分を急ぐ場合などはエコトピア亀岡へ自己搬入してください。10kgごとに180円の処理手数料（支払方法は現金またはPayPay）が必要です。
※令和5年4月から、粗大ごみ料金シールではなく10kgあたり180円の処理手数料をお支払いいただく方法に変更しています。令和5年4月以降は、自己搬入の場合は粗大ごみ料金シールが使えませんのでご注意ください。",い
埋立てるしかないごみ,板ガラス（袋に入るもの）,亀岡市指定の黄色のごみ袋に入れてください。亀岡市指定のごみ袋に入らないものについては粗大ごみになります。詳しくはごみの出し方をご覧ください。,い
